# Constructed from biom file
#OTU ID	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
ee69db637ec3b1cca9ed516c32f89559	0.0	0.0	30.0	16.0	22.0	0.0
923c84d6590d6258343658fb34b96c4f	0.0	0.0	0.0	0.0	43.0	0.0
445ae8f1a37b1e7e65ba5de2eda8905f	18.0	24.0	0.0	0.0	0.0	0.0
bcdb144ff933fd4f23bea6653f6032a1	0.0	0.0	0.0	0.0	33.0	9.0
54dbacdafae8fbc42ab753b5138360b7	0.0	0.0	0.0	0.0	29.0	13.0
a3da91bcfb5a7adc63e3ebc3e137c758	0.0	0.0	0.0	0.0	39.0	0.0
a9b9c4ae2e99aed4212d9c0e21b9ec0a	20.0	18.0	0.0	0.0	0.0	0.0
f3c516a5b7bea88210114185715a90d8	0.0	0.0	23.0	14.0	0.0	0.0
86ea52e59d0dbe196c05231568424c2a	0.0	0.0	25.0	11.0	0.0	0.0
829727096ec5fc6c12eb8485012e4ba1	0.0	0.0	0.0	0.0	36.0	0.0
e2085c6ebc8b4eeeaed18c2b0afdb9db	0.0	0.0	19.0	16.0	0.0	0.0
c275746c06cb9980fdaf1198d4af2a4d	18.0	16.0	0.0	0.0	0.0	0.0
6ddb587188268261152218e54944e6e8	19.0	12.0	0.0	0.0	0.0	0.0
5f5073eddbdf84e8785659a4625716a7	0.0	29.0	0.0	0.0	0.0	0.0
08912de7024fb6aeca03240feec6663e	0.0	26.0	0.0	0.0	0.0	0.0
1495be55cc72ed9f87f3e72cb38288af	0.0	0.0	12.0	14.0	0.0	0.0
92db1a8656a4b1e4dae2d82ffb6062ca	0.0	0.0	0.0	0.0	15.0	11.0
29c38011fd6bb7da2078abeea42ad756	0.0	0.0	25.0	0.0	0.0	0.0
4cb23e9fe9326c5c7b1dbd6503566926	24.0	0.0	0.0	0.0	0.0	0.0
d4d3397e1111d26c7ebdca0a238713c2	10.0	13.0	0.0	0.0	0.0	0.0
18dc28b87ba0054d630c1d0e6479711b	0.0	4.0	0.0	0.0	19.0	0.0
f873f1a9d6be7c9a81ff6e4aa984f508	8.0	12.0	0.0	0.0	0.0	0.0
6b63fc1f7e4455f236574d902330c7cc	0.0	0.0	16.0	4.0	0.0	0.0
bc98465023191c71343247dc08a728c9	0.0	0.0	20.0	0.0	0.0	0.0
946b2e33af0d18fc59c03dea073dc14f	0.0	0.0	0.0	0.0	20.0	0.0
f0824c6bd2a671d413ea0bbb78d041e3	19.0	17.0	0.0	0.0	0.0	0.0
99a1494be5a2bb9ca2c4329e6b854222	0.0	0.0	0.0	0.0	19.0	0.0
59ed0edd92eb00d1c2b3eeb16df9a3a9	0.0	0.0	18.0	0.0	0.0	0.0
0e5518843e8067d1b82a49b65376b70e	0.0	0.0	0.0	0.0	18.0	0.0
b59c7505044e70fc30c1f88c2cbc1e27	5.0	12.0	0.0	0.0	0.0	0.0
72823b56dde1911455350d46a109b586	17.0	0.0	0.0	0.0	0.0	0.0
2eda87174709cfb0f89e2105c24b5833	0.0	17.0	0.0	0.0	0.0	0.0
a7b740ef180fbd205490209058959451	0.0	0.0	17.0	0.0	0.0	0.0
c4e52671396ce1d1833ceec9f3ef649e	0.0	0.0	0.0	0.0	17.0	0.0
4bbf3900a316b2e0919e56edfa30a35b	16.0	0.0	0.0	0.0	0.0	0.0
ec697495c2451d64940291fb1a51098a	0.0	0.0	9.0	7.0	0.0	0.0
61a5e46784eecc84eae12b7b0a4f9a4e	0.0	0.0	0.0	0.0	16.0	0.0
5c84625335a4961efb5527e974b4b9e3	0.0	15.0	0.0	0.0	0.0	0.0
60a5c61f21d18d5115cf4b842a3bfb14	0.0	0.0	15.0	0.0	0.0	0.0
820fd5ca0c754f1ae7b6eea14b79e96c	0.0	0.0	0.0	15.0	0.0	0.0
4da187ad5593ced57b216e2eb669f3e3	0.0	0.0	0.0	0.0	15.0	0.0
b4fc20ce02d35272d592a3ac95c138a1	0.0	14.0	0.0	0.0	0.0	0.0
21481a43959e15cb3ab4d4bdc18e91ca	0.0	14.0	0.0	0.0	0.0	0.0
8e4fc04689eb11d249e08e5ec116517c	0.0	0.0	7.0	7.0	0.0	0.0
0a5509ebd59e6a93b43dcba4799ba341	0.0	0.0	0.0	0.0	14.0	0.0
94757a7ae8edf8dc979f5f704cede4ac	0.0	0.0	0.0	0.0	14.0	0.0
662e9b3b92250b4fbde88e0fc0208c6a	0.0	0.0	13.0	0.0	0.0	0.0
5aebe3ce0d7c62c691db3d12c2d817bb	0.0	12.0	0.0	0.0	0.0	0.0
4e98f0c0242e9360eace98bfdc2a34e9	0.0	0.0	10.0	2.0	0.0	0.0
2ea1f7994208a1553755f69d6c864e5d	0.0	0.0	0.0	0.0	6.0	12.0
